episode,episodic_reward
476,36536.04
477,59102.77
478,59035.5
479,59089.119999999995
480,36448.619999999995
481,59113.55999999999
482,43981.46000000001
483,59225.90000000001
484,74903.09
485,44617.49
486,90035.06
487,37479.11
488,67416.52
489,52190.59
490,74969.39
491,59775.590000000004
492,52204.810000000005
493,89413.5
494,81622.7
495,89141.45000000001
496,52159.44
497,49398.05000000001
498,52122.46000000001
499,44410.75
500,67101.98000000001
501,59622.0
502,67181.78
503,59650.98
504,74614.03
505,59540.06
506,111597.43000000001
507,147209.02999999997
508,44572.259999999995
509,65722.34999999999
510,50474.95
511,57642.81
512,74711.81
513,59706.060000000005
514,52100.91999999999
515,67300.66
516,44420.3
517,59723.39
518,74889.9
519,134576.74
520,118966.45999999999
521,67216.87
522,67345.43
523,67337.04000000001
524,36972.05
525,35169.55
526,52215.58
527,59795.51000000001
528,65273.62000000001
529,73390.07
530,59434.03
531,51691.36
532,162818.66
533,44352.03
534,59677.939999999995
535,57801.36
536,117346.51999999997
537,59405.649999999994
538,59342.240000000005
539,113003.89000000001
540,36656.67
541,59088.95
542,87909.04
543,43988.920000000006
544,124339.05000000003
545,73959.76000000001
546,55743.77999999999
547,59336.05
548,59627.85
549,59514.67
550,59470.350000000006
551,74719.72999999998
552,44598.3
553,54960.53999999999
554,44516.71
555,74833.42000000001
556,51915.880000000005
557,66593.12
558,51399.64
559,43885.82
560,152867.94000000003
561,36529.69
562,51420.01000000001
563,44161.36
564,59186.939999999995
565,59064.66
566,51389.02
567,66574.6
568,66806.87999999999
569,58911.619999999995
570,59074.27999999999
571,66549.95
572,36383.53
573,86674.93
574,43928.090000000004
575,73886.56
576,98654.4
577,80566.37
578,74380.56
579,59519.19999999999
580,74769.65
581,67079.43
582,67235.19
583,59116.0
584,95748.52
585,52206.56
586,44589.259999999995
587,44530.17
588,59184.219999999994
589,59763.64
590,52154.82
591,58001.99
592,57674.35
593,192698.44
594,74760.59
595,59343.98
596,74412.31
597,126649.05
598,67006.39
599,52108.37
600,37014.409999999996
601,44620.420000000006
602,24280.93
603,48933.16
604,52207.78999999999
605,42531.43
606,44714.41
607,44602.21000000001
608,74984.17
609,66945.49
610,59798.5
611,37011.24
612,52190.78
613,59802.119999999995
614,56095.99999999999
615,87348.14
616,7402.24
617,81600.38
618,165989.56000000003
619,54166.24
620,34319.92
621,42865.48
622,67246.51000000001
623,74792.77000000002
624,67044.49
625,66931.33
626,36765.380000000005
627,67197.34999999999
628,51877.36
629,59704.3
630,57928.41
631,90400.62
632,66747.35
633,95553.31000000001
634,22175.22
635,125467.32
636,118724.13
637,66616.24000000002
638,51607.37
639,66601.99
640,74120.37000000001
641,110637.15000000001
642,126242.40000000001
643,67194.35
644,119167.08000000002
