step,action,action_feedback,avg_execution_time,cpu,episode,episodic_reward,mean_reward,mem,n-step_reward,replicas,requests,throughput
99,0.0,0.0,0.7509999871253967,0.00419999985024333,6.0,66036.6796875,67501.3671875,0.15620000660419464,-100.0,8.0,2.0,100.0
100,-2.0,1.0,0.003000000026077032,0.004699999932199717,6.0,58543.26171875,67411.78125,0.16850000619888306,7495.919921875,6.0,3.0,100.0
101,-2.0,1.0,0.6809999942779541,0.029600000008940697,6.0,66857.2109375,67188.5859375,0.1940000057220459,7500.5400390625,4.0,10.0,100.0
102,1.0,1.0,0.0020000000949949026,0.06379999965429306,6.0,44369.3515625,66960.3984375,0.1615000069141388,7498.81982421875,5.0,1.0,100.0
103,-2.0,1.0,0.0,0.004100000020116568,6.0,194225.578125,68383.8984375,0.1737000048160553,7501.22021484375,3.0,0.0,100.0
104,-1.0,1.0,0.7080000042915344,0.06589999794960022,6.0,51793.671875,67933.5546875,0.17440000176429749,7502.75,2.0,14.0,100.0
105,1.0,1.0,2.0840001106262207,0.1648000031709671,6.0,80552.921875,68293.0625,0.18719999492168427,7503.39990234375,3.0,4.0,100.0
106,-1.0,1.0,1.0870000123977661,0.004399999976158142,6.0,43939.640625,67516.9765625,0.17679999768733978,7502.02001953125,2.0,1.0,100.0
107,2.0,1.0,0.20100000500679016,0.14509999752044678,6.0,110600.6875,67275.265625,0.1460999995470047,7501.39013671875,4.0,7.0,100.0
108,-2.0,1.0,0.5609999895095825,0.10760000348091125,6.0,14683.3203125,67128.0859375,0.20340000092983246,7503.64013671875,2.0,37.0,100.0
109,-1.0,1.0,0.0,0.007699999958276749,6.0,66477.25,67271.7890625,0.17640000581741333,7502.2998046875,1.0,0.0,100.0
110,-2.0,0.0,0.0,0.007699999958276749,7.0,118173.890625,68007.84375,0.17640000581741333,-100.0,1.0,0.0,100.0
111,0.0,0.0,0.0,0.007699999958276749,7.0,59329.2109375,68003.9375,0.17640000581741333,-100.0,1.0,0.0,100.0
112,-1.0,0.0,0.0,0.007699999958276749,7.0,67004.5625,68076.2109375,0.17640000581741333,-100.0,1.0,0.0,100.0
113,2.0,1.0,2.2079999446868896,0.3695000112056732,7.0,44248.26171875,68072.5625,0.18209999799728394,7505.89990234375,3.0,8.0,100.0
114,0.0,0.0,2.2079999446868896,0.3695000112056732,7.0,68883.15625,67882.390625,0.18209999799728394,-100.0,3.0,8.0,100.0
115,0.0,0.0,2.2079999446868896,0.3695000112056732,7.0,44161.0,67726.03125,0.18209999799728394,-100.0,3.0,8.0,100.0
116,1.0,1.0,0.5049999952316284,0.1307000070810318,7.0,103589.1171875,67845.1328125,0.15569999814033508,7501.330078125,4.0,7.0,100.0
117,0.0,0.0,0.5049999952316284,0.1307000070810318,7.0,59579.73046875,67475.4140625,0.15569999814033508,-100.0,4.0,7.0,100.0
118,1.0,1.0,1.090999960899353,0.025100000202655792,7.0,22337.4296875,67025.046875,0.15610000491142273,7498.259765625,5.0,1.0,100.0
119,1.0,1.0,2.359999895095825,0.010200000368058681,7.0,74604.8671875,67325.7421875,0.15029999613761902,7495.759765625,6.0,1.0,100.0
120,0.0,0.0,2.359999895095825,0.010200000368058681,8.0,59735.2890625,67264.421875,0.15029999613761902,-100.0,6.0,1.0,100.0
121,2.0,1.0,0.004000000189989805,0.01720000058412552,8.0,126930.4296875,68089.6953125,0.1477999985218048,7489.81005859375,8.0,1.0,100.0
122,2.0,1.0,0.6359999775886536,0.054499998688697815,8.0,51763.26953125,68010.484375,0.14239999651908875,7482.2099609375,10.0,4.0,100.0
123,-1.0,1.0,0.24500000476837158,0.017799999564886093,8.0,161962.625,69215.3828125,0.1500999927520752,7486.10009765625,9.0,13.0,100.0
124,2.0,1.0,0.0,0.016300000250339508,8.0,102873.90625,69570.765625,0.1451999992132187,7477.02001953125,11.0,0.0,100.0
125,-2.0,1.0,0.003000000026077032,0.003800000064074993,8.0,59246.890625,69642.6953125,0.15129999816417694,7485.93994140625,9.0,4.0,100.0
126,-1.0,1.0,0.24400000274181366,0.019600000232458115,8.0,66840.84375,69565.5078125,0.16050000488758087,7490.0,8.0,13.0,100.0
127,0.0,0.0,0.24400000274181366,0.019600000232458115,8.0,59369.41015625,68967.8984375,0.16050000488758087,-100.0,8.0,13.0,100.0
128,0.0,0.0,0.24400000274181366,0.019600000232458115,8.0,66989.65625,69121.9453125,0.16050000488758087,-100.0,8.0,13.0,100.0
129,-2.0,1.0,0.003000000026077032,0.003700000001117587,8.0,104116.59375,69874.125,0.16019999980926514,7495.7998046875,6.0,1.0,100.0
130,0.0,0.0,0.003000000026077032,0.003700000001117587,9.0,59184.640625,69797.2109375,0.16019999980926514,-100.0,6.0,1.0,100.0
131,1.0,1.0,0.8939999938011169,0.041200000792741776,9.0,43960.1796875,68456.21875,0.15440000593662262,7493.4501953125,7.0,4.0,100.0
132,0.0,0.0,0.8939999938011169,0.041200000792741776,9.0,74158.6796875,68604.3984375,0.15440000593662262,-100.0,7.0,4.0,100.0
133,1.0,1.0,0.34700000286102295,0.05990000069141388,9.0,74433.8515625,68753.546875,0.15600000321865082,7490.4501953125,8.0,26.0,100.0
134,-2.0,1.0,0.8410000205039978,0.07159999758005142,9.0,74715.6875,68164.328125,0.18809999525547028,7497.0,6.0,15.0,100.0
135,-2.0,1.0,0.0020000000949949026,0.0035000001080334187,9.0,58904.55859375,68163.140625,0.16940000653266907,7499.91015625,4.0,1.0,100.0
136,0.0,0.0,0.0020000000949949026,0.0035000001080334187,9.0,59149.08984375,68464.9765625,0.16940000653266907,-100.0,4.0,1.0,100.0
137,0.0,0.0,0.0020000000949949026,0.0035000001080334187,9.0,66514.4921875,68690.734375,0.16940000653266907,-100.0,4.0,1.0,100.0
138,2.0,1.0,0.6370000243186951,0.0763000026345253,9.0,22233.9609375,68248.609375,0.1527000069618225,7496.60986328125,6.0,2.0,100.0
139,2.0,1.0,0.5479999780654907,0.12290000170469284,9.0,59440.26953125,68252.90625,0.1500999927520752,7491.16015625,8.0,12.0,100.0
140,-1.0,1.0,0.0020000000949949026,0.016499999910593033,10.0,67300.1796875,68260.46875,0.16089999675750732,7493.22021484375,7.0,1.0,100.0
141,2.0,1.0,0.012000000104308128,0.06589999794960022,10.0,67150.3984375,68341.75,0.15199999511241913,7486.72021484375,9.0,1.0,100.0
142,-1.0,1.0,0.0,0.003700000001117587,10.0,44274.7109375,68210.890625,0.15629999339580536,7489.75,8.0,0.0,100.0
