timestamp,avg_execution_time,throughput,requests,replicas,avg_cpu,avg_mem,cold,idle_on,busy,init_total,init_reserved,nsgd_cost,has_rejection,lstm_ppo_reward,reward_throughput,reward_cpu,reward_mem,reward_replicas,proxy_requests,proxy_rejections,avg_response_latency_ms,p99_response_latency_ms
1777984375.3934708,4.14,95.24,21,13,0.2039,0.197,0,0,13,11,11,1368,True,6772.0,6802.9932,2.5488,2.4625,-36.0,21,1,4471.29,9535.06
1777984405.4111419,5.589,71.43,42,24,0.3818,0.1849,0,22,2,0,0,46,False,3701.52,3826.6837,4.7725,2.3113,-132.25,44,10,6707.59,10418.39
1777984435.4269588,3.562,100.0,6,24,0.1519,0.1717,0,23,1,0,0,47,False,7371.8,7500.0,1.8988,2.1462,-132.25,6,1,4642.25,9806.57
1777984465.4416246,2.752,100.0,16,13,0.051,0.1822,11,13,0,0,0,26,False,7466.91,7500.0,0.6375,2.2775,-36.0,16,0,2819.4,4275.34
1777984495.4545898,4.641,71.43,21,24,0.0297,0.2052,0,24,0,0,0,48,False,3697.37,3826.6837,0.3713,2.565,-132.25,18,5,6201.91,10327.82
1777984525.4679468,3.427,97.78,45,24,0.0848,0.1601,0,21,3,0,0,45,False,7041.51,7170.6963,1.06,2.0012,-132.25,41,3,4039.92,10240.91
1777984555.4845812,3.843,95.24,21,24,0.2075,0.1846,0,24,0,0,0,48,False,6675.64,6802.9932,2.5938,2.3075,-132.25,20,3,4791.1,10045.02
1777984585.5008757,1.955,100.0,4,18,0.0148,0.1782,6,12,6,0,0,30,False,7430.16,7500.0,0.185,2.2275,-72.25,5,0,1849.74,1896.13
1777984615.5162218,4.301,90.91,11,13,0.1702,0.192,11,4,9,0,0,17,False,6167.0,6198.4711,2.1275,2.4,-36.0,16,1,4872.09,9500.11
1777984645.5299754,4.738,40.0,10,13,0.2111,0.1966,11,12,1,0,0,25,False,1169.1,1200.0,2.6387,2.4575,-36.0,16,5,5786.54,10765.53
1777984675.5449767,4.471,80.77,52,24,0.3163,0.2291,0,23,1,0,0,47,False,4767.41,4892.8447,3.9538,2.8638,-132.25,48,9,5361.47,10196.79
1777984705.5585525,3.565,100.0,10,24,0.081,0.1664,0,24,0,0,0,48,False,7370.84,7500.0,1.0125,2.08,-132.25,13,0,3262.35,8183.17
1777984735.5733383,3.248,100.0,6,17,0.0366,0.173,7,14,3,0,0,31,False,7438.62,7500.0,0.4575,2.1625,-64.0,5,0,3251.81,3934.97
1777984765.5866284,4.299,92.86,14,15,0.0953,0.1893,9,13,2,0,0,28,False,6421.79,6467.2347,1.1912,2.3662,-49.0,16,1,4449.81,9070.55
1777984795.5995026,4.704,100.0,18,15,0.1165,0.2004,9,15,0,0,0,30,False,7454.96,7500.0,1.4563,2.505,-49.0,16,0,4512.53,7673.96
