timestamp,avg_execution_time,throughput,requests,replicas,avg_cpu,avg_mem,cold,idle_on,busy,init_total,init_reserved,nsgd_cost,has_rejection,proxy_requests,proxy_rejections,avg_response_latency_ms,p99_response_latency_ms
1777926214.6035023,4.252,90.91,22,24,0.0775,0.1695,0,24,0,0,0,48,False,20,2,5148.32,10212.06
1777926244.6170444,1.692,100.0,2,12,0.02,0.1796,12,10,2,0,0,22,False,2,0,1695.84,1392.04
1777926274.6315796,3.018,100.0,19,12,0.1866,0.1994,12,8,4,0,0,20,False,18,0,3049.91,5870.85
1777926304.646418,4.161,46.15,13,12,0.1535,0.2032,12,12,0,0,0,24,False,18,6,5422.04,10372.71
1777926334.6580355,3.978,88.0,50,20,0.2631,0.1985,4,20,0,0,0,40,False,44,5,4114.43,10299.78
1777926364.6708167,2.545,100.0,16,20,0.0412,0.1683,4,17,3,0,0,37,False,15,0,2465.15,3501.62
1777926394.6849597,3.828,94.74,19,20,0.0532,0.187,4,20,0,0,0,40,False,20,1,4094.25,8493.6
1777926424.699306,2.364,100.0,3,18,0.0092,0.1746,6,13,5,0,0,31,False,3,0,2368.78,1895.42
1777926454.7119284,3.199,100.0,12,17,0.0737,0.1923,7,16,1,0,0,33,False,15,0,3231.69,6145.78
1777926484.7246096,3.752,88.46,52,24,0.2156,0.2255,0,22,2,0,0,46,False,45,5,4464.97,10680.2
1777926514.736935,3.39,92.86,14,24,0.1837,0.1836,0,23,1,0,0,47,False,17,1,3944.63,8868.7
1777926544.7515042,3.183,88.89,9,14,0.0193,0.1851,10,11,3,0,0,25,False,10,1,2770.28,4289.29
1777926574.7637,3.568,100.0,21,11,0.1389,0.1813,10,7,4,3,0,33,False,22,0,3666.05,8523.89
1777926604.7767048,2.137,100.0,6,14,0.1203,0.1711,10,8,6,0,0,22,False,9,0,2923.6,4501.12
1777926634.7891116,4.05,95.45,44,24,0.3343,0.179,0,23,1,0,0,47,False,46,2,3917.57,8588.74
1777926664.8016872,2.399,90.91,11,24,0.0669,0.1704,0,23,1,0,0,47,False,12,1,3034.85,6012.81
1777926694.815764,2.404,100.0,14,17,0.0456,0.1831,7,15,2,0,0,32,False,14,0,2310.38,4371.29
1777926724.8289492,2.43,100.0,14,15,0.0212,0.1782,9,11,4,0,0,26,False,15,0,2658.8,3726.68
1777926754.8409526,1.642,50.0,4,15,0.1638,0.1876,9,13,2,0,0,28,False,7,2,4309.33,10182.58
1777926784.8525496,3.192,95.83,48,24,0.3095,0.1902,0,24,0,0,0,48,False,45,2,3195.59,7821.7
1777926814.8653564,3.159,93.75,16,24,0.069,0.1723,0,24,0,0,0,48,False,15,1,3538.95,8275.13
1777926844.8777285,2.448,100.0,3,12,0.0043,0.1806,12,12,0,0,0,24,False,3,0,2452.28,1573.96
1777926874.8930936,2.61,100.0,20,11,0.1535,0.1954,13,11,0,0,0,22,False,17,0,2614.6,3974.3
1777926904.9087327,3.059,100.0,24,11,0.2279,0.2007,0,0,11,13,3,376,False,21,0,3036.36,6300.95
1777926934.925166,4.892,84.0,50,24,0.3214,0.1753,0,24,0,0,0,48,False,57,7,5378.1,10351.24
1777926964.9387865,3.57,100.0,21,24,0.0376,0.1655,0,24,0,0,0,48,False,19,0,3515.24,6259.19
1777926994.953734,2.998,100.0,21,24,0.0702,0.1762,0,24,0,0,0,48,False,19,0,2958.38,4689.96
1777927024.9661105,3.376,100.0,34,24,0.0279,0.1757,0,18,6,0,0,42,False,29,0,3381.55,6518.49
1777927054.9836292,2.945,100.0,22,24,0.174,0.1854,0,24,0,0,0,48,False,31,0,2968.47,5760.54
1777927084.9963655,2.874,100.0,4,24,0.0129,0.1764,0,24,0,0,0,48,False,4,0,2877.42,2980.39
1777927115.0098016,3.768,100.0,14,14,0.1227,0.18,10,9,5,0,0,23,False,18,0,3233.22,5767.61
1777927145.0239894,3.527,100.0,13,14,0.1572,0.1868,10,14,0,0,0,28,False,17,0,3510.12,8104.7
1777927175.0358305,4.865,87.69,65,24,0.3309,0.2149,0,22,2,0,0,46,False,58,7,5350.98,10123.06
1777927205.0489001,3.242,100.0,4,24,0.0548,0.1693,0,24,0,0,0,48,False,6,2,5524.3,10032.29
1777927235.0632248,3.051,100.0,18,15,0.0583,0.1891,9,15,0,0,0,30,False,15,0,3055.1,6079.43
1777927265.0756829,2.2,100.0,18,13,0.0534,0.1814,11,12,1,0,0,25,False,16,0,2238.1,3325.91
1777927295.0883124,2.754,92.86,28,19,0.0172,0.1879,0,5,16,3,0,41,False,27,2,2778.82,5770.98
1777927325.1083837,4.535,100.0,19,24,0.1558,0.1545,0,22,2,0,0,46,False,32,1,4655.8,9936.01
1777927355.1212075,1.568,100.0,2,18,0.0496,0.1752,6,18,0,0,0,36,False,5,0,1687.71,1882.22
1777927385.1332805,3.572,100.0,20,13,0.1503,0.1939,11,8,5,0,0,21,False,21,0,3366.06,4833.89
1777927415.145656,2.448,100.0,9,13,0.156,0.1865,11,12,1,0,0,25,False,14,0,3046.81,5743.68
1777927445.1595063,2.773,100.0,30,13,0.0281,0.1932,0,0,13,11,6,668,False,26,0,2781.81,5010.16
1777927475.176772,1.859,83.33,18,24,0.1964,0.1664,0,21,3,0,0,45,False,32,3,4103.08,10453.9
1777927505.18964,2.097,100.0,4,24,0.0292,0.1634,0,22,2,0,0,46,False,7,0,2328.3,2392.44
1777927535.2054486,3.361,93.75,16,13,0.0705,0.2091,11,13,0,0,0,26,False,16,1,3691.02,9804.74
1777927565.2179387,2.619,100.0,8,13,0.0311,0.193,11,10,3,0,0,23,False,8,0,2570.11,3054.04
1777927595.230493,2.832,75.0,8,13,0.1242,0.1919,11,13,0,0,0,26,False,11,2,3840.63,10005.92
1777927625.2448416,4.144,92.0,50,24,0.2039,0.1916,0,24,0,0,0,48,False,43,4,4489.74,10297.39
1777927655.2592168,3.22,100.0,20,24,0.0868,0.1945,0,23,1,0,0,47,False,17,0,3225.25,6110.21
1777927685.2723584,2.718,100.0,19,22,0.0415,0.1759,2,21,1,0,0,43,False,17,0,2764.38,4259.55
1777927715.2844076,2.514,100.0,9,12,0.0364,0.1825,12,11,1,0,0,23,False,10,0,2531.83,2596.87
1777927745.2989821,2.182,100.0,12,12,0.1224,0.1826,12,5,7,0,0,17,False,14,0,2330.63,3525.12
1777927775.3157299,4.748,94.87,39,21,0.3619,0.1685,3,17,4,0,0,38,False,44,2,4633.03,10271.5
1777927805.32966,3.485,90.0,10,21,0.136,0.169,3,21,0,0,0,42,False,14,1,3775.32,7571.35
1777927835.3415744,1.967,86.67,15,18,0.049,0.1723,6,15,3,0,0,33,False,14,2,3135.87,10006.09
